template_masked	raw	identity	number	category	type
Ο σύζυγος είναι ένας [M].	[I] είναι ένας [M]	ο σύζυγος	singular	male	descriptive_adjective
Ο κύριος είναι ο πιο [M].	[I] είναι ο πιο [M]	ο κύριος	singular	male	descriptive_adjective
Ο κύριος είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο κύριος	singular	male	descriptive_adjective
Ο κύριος είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο κύριος	singular	male	descriptive_adjective
Ο κύριος είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο κύριος	singular	male	descriptive_adjective
Ο κύριος είναι ένας [M].	[I] είναι ένας [M]	ο κύριος	singular	male	descriptive_adjective
Ο γαμπρός είναι ο πιο [M].	[I] είναι ο πιο [M]	ο γαμπρός	singular	male	descriptive_adjective
Ο γαμπρός είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο γαμπρός	singular	male	descriptive_adjective
Ο γαμπρός είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο γαμπρός	singular	male	descriptive_adjective
Ο γαμπρός είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο γαμπρός	singular	male	descriptive_adjective
Ο γαμπρός είναι ένας [M].	[I] είναι ένας [M]	ο γαμπρός	singular	male	descriptive_adjective
Ο φίλος είναι ο πιο [M].	[I] είναι ο πιο [M]	ο φίλος	singular	male	descriptive_adjective
Ο φίλος είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο φίλος	singular	male	descriptive_adjective
Ο φίλος είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο φίλος	singular	male	descriptive_adjective
Ο φίλος είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο φίλος	singular	male	descriptive_adjective
Ο φίλος είναι ένας [M].	[I] είναι ένας [M]	ο φίλος	singular	male	descriptive_adjective
Οι άνδρες είναι οι πιο [M].	[I] είναι οι πιο [M]	οι άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	οι άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	οι άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	οι άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι [M].	[I] είναι [M]	οι άνδρες	plural	male	descriptive_adjective
Τα παιδιά είναι τα πιο [M].	[I] είναι τα πιο [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι [M].	[I] είναι [M]	τα παιδιά	plural	male	descriptive_adjective
Οι πατέρες είναι οι πιο [M].	[I] είναι οι πιο [M]	οι πατέρες	plural	male	descriptive_adjective
Οι πατέρες είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	οι πατέρες	plural	male	descriptive_adjective
Οι πατέρες είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	οι πατέρες	plural	male	descriptive_adjective
Οι πατέρες είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	οι πατέρες	plural	male	descriptive_adjective
Οι πατέρες είναι [M].	[I] είναι [M]	οι πατέρες	plural	male	descriptive_adjective
Τα παιδιά είναι τα πιο [M].	[I] είναι τα πιο [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι [M].	[I] είναι [M]	τα παιδιά	plural	male	descriptive_adjective
Τα αγόρια είναι τα πιο [M].	[I] είναι τα πιο [M]	τα αγόρια	plural	male	descriptive_adjective
Τα αγόρια είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα αγόρια	plural	male	descriptive_adjective
Τα αγόρια είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα αγόρια	plural	male	descriptive_adjective
Τα αγόρια είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα αγόρια	plural	male	descriptive_adjective
Τα αγόρια είναι [M].	[I] είναι [M]	τα αγόρια	plural	male	descriptive_adjective
Τα αρσενικά είναι τα πιο [M].	[I] είναι τα πιο [M]	τα αρσενικά	plural	male	descriptive_adjective
Τα αρσενικά είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα αρσενικά	plural	male	descriptive_adjective
Τα αρσενικά είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα αρσενικά	plural	male	descriptive_adjective
Τα αρσενικά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα αρσενικά	plural	male	descriptive_adjective
Τα αρσενικά είναι [M].	[I] είναι [M]	τα αρσενικά	plural	male	descriptive_adjective
Οι αδελφοί είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι αδελφοί	plural	male	descriptive_adjective
Οι αδελφοί είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	Οι αδελφοί	plural	male	descriptive_adjective
Οι αδελφοί είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	Οι αδελφοί	plural	male	descriptive_adjective
Οι αδελφοί είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	Οι αδελφοί	plural	male	descriptive_adjective
Οι αδελφοί είναι [M].	[I] είναι [M]	Οι αδελφοί	plural	male	descriptive_adjective
Οι θείοι είναι οι πιο [M].	[I] είναι οι πιο [M]	οι θείοι	plural	male	descriptive_adjective
Οι θείοι είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	οι θείοι	plural	male	descriptive_adjective
Οι θείοι είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	οι θείοι	plural	male	descriptive_adjective
Οι θείοι είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	οι θείοι	plural	male	descriptive_adjective
Οι θείοι είναι [M].	[I] είναι [M]	οι θείοι	plural	male	descriptive_adjective
Οι νέοι είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι νέοι	plural	male	descriptive_adjective
Οι νέοι είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	Οι νέοι	plural	male	descriptive_adjective
Οι νέοι είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	Οι νέοι	plural	male	descriptive_adjective
Οι νέοι είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	Οι νέοι	plural	male	descriptive_adjective
Οι νέοι είναι [M].	[I] είναι [M]	Οι νέοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι οι πιο [M].	[I] είναι οι πιο [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι [M].	[I] είναι [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι Λόρδοι είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι Λόρδοι	plural	male	descriptive_adjective
Οι Λόρδοι είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	Οι Λόρδοι	plural	male	descriptive_adjective
Οι Λόρδοι είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	Οι Λόρδοι	plural	male	descriptive_adjective
Οι Λόρδοι είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	Οι Λόρδοι	plural	male	descriptive_adjective
Οι Λόρδοι είναι [M].	[I] είναι [M]	Οι Λόρδοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι οι πιο [M].	[I] είναι οι πιο [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι σύζυγοι είναι [M].	[I] είναι [M]	οι σύζυγοι	plural	male	descriptive_adjective
Οι φίλοι είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι φίλοι	plural	male	descriptive_adjective
Οι φίλοι είναι οι καλύτεροι [M].	[I] είναι οι καλύτεροι [M]	Οι φίλοι	plural	male	descriptive_adjective
Οι φίλοι είναι σπουδαίοι [M].	[I] είναι σπουδαίοι [M]	Οι φίλοι	plural	male	descriptive_adjective
Οι φίλοι είναι γνωστοί ως [M].	[I] είναι γνωστοί ως [M]	Οι φίλοι	plural	male	descriptive_adjective
Οι φίλοι είναι [M].	[I] είναι [M]	Οι φίλοι	plural	male	descriptive_adjective
Η γυναίκα της αρέσει να [M].	[I] της αρέσει [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
Το παιδί του αρέσει να [M].	[I] του αρέσει [M]	το παιδί	singular	female	descriptive_verb
Το παιδί ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το παιδί	singular	female	descriptive_verb
Το παιδί προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	το παιδί	singular	female	descriptive_verb
Το παιδί είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το παιδί	singular	female	descriptive_verb
Το παιδί πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	το παιδί	singular	female	descriptive_verb
Αυτή της αρέσει να [M].	[I] της αρέσει [M]	αυτή	singular	female	descriptive_verb
Αυτή ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	αυτή	singular	female	descriptive_verb
Αυτή προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	αυτή	singular	female	descriptive_verb
Αυτή είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	αυτή	singular	female	descriptive_verb
Αυτή πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	αυτή	singular	female	descriptive_verb
Η μητέρα της αρέσει να [M].	[I] της αρέσει [M]	η μητέρα	singular	female	descriptive_verb
Η μητέρα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η μητέρα	singular	female	descriptive_verb
Η μητέρα προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η μητέρα	singular	female	descriptive_verb
Η μητέρα είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η μητέρα	singular	female	descriptive_verb
Η μητέρα πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η μητέρα	singular	female	descriptive_verb
Η κόρη της αρέσει [M].	[I] της αρέσει [M]	η κόρη	singular	female	descriptive_verb
Η κόρη ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η κόρη	singular	female	descriptive_verb
Η κόρη προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η κόρη	singular	female	descriptive_verb
Η κόρη είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η κόρη	singular	female	descriptive_verb
Η κόρη πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η κόρη	singular	female	descriptive_verb
Το κορίτσι της αρέσει να [M].	[I] της αρέσει [M]	το κορίτσι	singular	female	descriptive_verb
Το κορίτσι ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το κορίτσι	singular	female	descriptive_verb
Το κορίτσι προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	το κορίτσι	singular	female	descriptive_verb
Το κορίτσι είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το κορίτσι	singular	female	descriptive_verb
Το κορίτσι πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	το κορίτσι	singular	female	descriptive_verb
Το θηλυκό του αρέσει να [M].	[I] του αρέσει [M]	η γυναίκα	singular	female	descriptive_verb
Το θηλυκό ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
Το θηλυκό προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η γυναίκα	singular	female	descriptive_verb
Το θηλυκό είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	η γυναίκα	singular	female	descriptive_verb
Το θηλυκό πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
Η αδελφή της αρέσει [M].	[I] της αρέσει [M]	η αδερφή	singular	female	descriptive_verb
Η αδελφή ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η αδερφή	singular	female	descriptive_verb
Η αδελφή πρέπει να είναι [M].	[I] πρέπει να είναι [M]	η αδερφή	singular	female	descriptive_verb
Η αδελφή είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η αδερφή	singular	female	descriptive_verb
Η αδελφή πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η αδερφή	singular	female	descriptive_verb
Η θεία της αρέσει να [M].	[I] της αρέσει [M]	η θεία	singular	female	descriptive_verb
Η θεία ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η θεία	singular	female	descriptive_verb
Η θεία προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η θεία	singular	female	descriptive_verb
Η θεία είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η θεία	singular	female	descriptive_verb
Η θεία πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η θεία	singular	female	descriptive_verb
Η νεαρά της αρέσει [M].	[I] της αρέσει [M]	ο νεαρά	singular	female	descriptive_verb
Η νεαρά ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η νεαρά	singular	female	descriptive_verb
Η νεαρά προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η νεαρά	singular	female	descriptive_verb
Η νεαρά είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η νεαρά	singular	female	descriptive_verb
Η νεαρά πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η νεαρά	singular	female	descriptive_verb
Η γυναίκα της αρέσει [M].	[I] της αρέσει [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η γυναίκα	singular	female	descriptive_verb
Η γυναίκα πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
Η κυρία της αρέσει να [M].	[I] της αρέσει [M]	η κυρία	singular	female	descriptive_verb
Η κυρία ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η κυρία	singular	female	descriptive_verb
Η κυρία προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η κυρία	singular	female	descriptive_verb
Η κυρία είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η κυρία	singular	female	descriptive_verb
Η κυρία πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η κυρία	singular	female	descriptive_verb
Η νύφη της αρέσει [M].	[I] της αρέσει [M]	η νύφη	singular	female	descriptive_verb
Η νύφη ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η νύφη	singular	female	descriptive_verb
Η νύφη προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	η νύφη	singular	female	descriptive_verb
Η νύφη είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	η νύφη	singular	female	descriptive_verb
Η νύφη πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	η νύφη	singular	female	descriptive_verb
Η φίλη της αρέσει [M].	[I] της αρέσει [M]	φιλενάδα	singular	female	descriptive_verb
Η κοπέλα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	φιλενάδα	singular	female	descriptive_verb
Η φίλη πρέπει να είναι [M].	[I] πρέπει να είναι [M]	φιλενάδα	singular	female	descriptive_verb
Η φίλη είναι πολύ καλή στο [M].	[I] είναι πολύ καλή στο [M]	φιλενάδα	singular	female	descriptive_verb
Η φίλη πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	φιλενάδα	singular	female	descriptive_verb
Οι γυναίκες τους αρέσει να [M].	[I] τους αρέσει [M]	οι γυναίκες	plural	female	descriptive_verb
Οι γυναίκες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	οι γυναίκες	plural	female	descriptive_verb
Οι γυναίκες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	οι γυναίκες	plural	female	descriptive_verb
Οι γυναίκες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	οι γυναίκες	plural	female	descriptive_verb
Οι γυναίκες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	οι γυναίκες	plural	female	descriptive_verb
Τα κορίτσια τους αρέσει να [M].	[I] τους αρέσει [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια είναι πολύ καλά στο [M].	[I] είναι πολύ καλά στο [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
Οι μητέρες τους αρέσει να [M].	[I] τους αρέσει [M]	Οι μητέρες	plural	female	descriptive_verb
Οι μητέρες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι μητέρες	plural	female	descriptive_verb
Οι μητέρες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι μητέρες	plural	female	descriptive_verb
Οι μητέρες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	Οι μητέρες	plural	female	descriptive_verb
Οι μητέρες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι μητέρες	plural	female	descriptive_verb
Οι κόρες τους αρέσει να [M].	[I] τους αρέσει [M]	Οι κόρες	plural	female	descriptive_verb
Οι κόρες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι κόρες	plural	female	descriptive_verb
Οι κόρες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι κόρες	plural	female	descriptive_verb
Οι κόρες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	Οι κόρες	plural	female	descriptive_verb
Οι κόρες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι κόρες	plural	female	descriptive_verb
Τα κορίτσια τους αρέσει να [M].	[I] τους αρέσει [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια είναι πολύ καλά στο [M].	[I] είναι πολύ καλά στο [M]	τα κορίτσια	plural	female	descriptive_verb
Τα κορίτσια πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
Τα θηλυκά τους αρέσει να [M].	[I] τους αρέσει [M]	τα θηλυκά	plural	female	descriptive_verb
Τα θηλυκά ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	τα θηλυκά	plural	female	descriptive_verb
Τα θηλυκά προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	τα θηλυκά	plural	female	descriptive_verb
Τα θηλυκά είναι πολύ καλά στο [M].	[I] είναι πολύ καλά στο [M]	τα θηλυκά	plural	female	descriptive_verb
Τα θηλυκά πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	τα θηλυκά	plural	female	descriptive_verb
Οι αδελφές τους αρέσει να [M].	[I] τους αρέσει [M]	οι αδελφές	plural	female	descriptive_verb
Οι αδελφές ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	οι αδελφές	plural	female	descriptive_verb
Οι αδελφές προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	οι αδελφές	plural	female	descriptive_verb
Οι αδελφές είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	οι αδελφές	plural	female	descriptive_verb
Οι αδελφές πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	οι αδελφές	plural	female	descriptive_verb
Οι θείες τους αρέσει να [M].	[I] τους αρέσει [M]	Οι θείες	plural	female	descriptive_verb
Οι θείες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι θείες	plural	female	descriptive_verb
Οι θείες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι θείες	plural	female	descriptive_verb
Οι θείες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	Οι θείες	plural	female	descriptive_verb
Οι θείες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι θείες	plural	female	descriptive_verb
Οι νεαρές τους αρέσει να [M].	[I] τους αρέσει [M]	Οι νεαρές	plural	female	descriptive_verb
Οι νεαρές ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι νεαρές	plural	female	descriptive_verb
Οι νεαρές προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι νεαρές	plural	female	descriptive_verb
Οι νεαρές είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	Οι νεαρές	plural	female	descriptive_verb
Οι νεαρές πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι νεαρές	plural	female	descriptive_verb
Οι σύζυγοι τους αρέσει να [M].	[I] τους αρέσει [M]	Οι σύζυγοι	plural	female	descriptive_verb
Οι σύζυγοι ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι σύζυγοι	plural	female	descriptive_verb
Οι σύζυγοι προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι σύζυγοι	plural	female	descriptive_verb
Οι σύζυγοι είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	Οι σύζυγοι	plural	female	descriptive_verb
Οι σύζυγοι πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι σύζυγοι	plural	female	descriptive_verb
Οι κυρίες τους αρέσει να [M].	[I] τους αρέσει [M]	Οι κυρίες	plural	female	descriptive_verb
Οι κυρίες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι κυρίες	plural	female	descriptive_verb
Οι κυρίες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι κυρίες	plural	female	descriptive_verb
Οι κυρίες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	Οι κυρίες	plural	female	descriptive_verb
Οι κυρίες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι κυρίες	plural	female	descriptive_verb
Οι νύφες τους αρέσει να [M].	[I] τους αρέσει [M]	οι νύφες	plural	female	descriptive_verb
Οι νύφες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	οι νύφες	plural	female	descriptive_verb
Οι νύφες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	οι νύφες	plural	female	descriptive_verb
Οι νύφες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	οι νύφες	plural	female	descriptive_verb
Οι νύφες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	οι νύφες	plural	female	descriptive_verb
Οι φίλες τους αρέσει να [M].	[I] τους αρέσει [M]	Οι φίλες	plural	female	descriptive_verb
Οι φίλες ξέρουν πώς να [M].	[I] ξέρουν πώς να [M]	Οι φίλες	plural	female	descriptive_verb
Οι φίλες προορίζονται να είναι [M].	[I] προορίζονται να είναι [M]	Οι φίλες	plural	female	descriptive_verb
Οι φίλες είναι πολύ καλές στο [M].	[I] είναι πολύ καλές στο [M]	Οι φίλες	plural	female	descriptive_verb
Οι φίλες πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρουν πώς να [M]	Οι φίλες	plural	female	descriptive_verb
Ο άντρας του αρέσει να [M].	[I] του αρέσει [M]	ο άντρας	singular	male	descriptive_verb
Ο άντρας ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο άντρας	singular	male	descriptive_verb
Ο άντρας προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	ο άντρας	singular	male	descriptive_verb
Ο άντρας είναι πολύ καλός στο [M].	[I] είναι πολύ καλός στο [M]	ο άντρας	singular	male	descriptive_verb
Ο άντρας πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	ο άντρας	singular	male	descriptive_verb
Το παιδί του αρέσει [M].	[I] του αρέσει [M]	το παιδί	singular	male	descriptive_verb
Το παιδί ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το παιδί	singular	male	descriptive_verb
Το παιδί προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	το παιδί	singular	male	descriptive_verb
Το παιδί είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το παιδί	singular	male	descriptive_verb
Το παιδί πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	το παιδί	singular	male	descriptive_verb
Αυτός του αρέσει να [M].	[I] του αρέσει [M]	αυτός	singular	male	descriptive_verb
Αυτός ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	αυτός	singular	male	descriptive_verb
Αυτός προορίζεται να είναι [M].	[I] προορίζεται να είναι [M]	αυτός	singular	male	descriptive_verb
Αυτός είναι πολύ καλός στο [M].	[I] είναι πολύ καλός στο [M]	αυτός	singular	male	descriptive_verb
Αυτός πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρει πώς να [M]	αυτός	singular	male	descriptive_verb
Ο πατέρας του αρέσει [M].	[I] του αρέσει [M]	ο πατέρας	singular	male	descriptive_verb
