1	template_masked	raw	identity	number	category	type
443	Ο αδελφός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο αδερφός	singular	male	descriptive_adjective
444	Ο αδελφός είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	ο αδερφός	singular	male	descriptive_adjective
445	Ο αδελφός είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	ο αδερφός	singular	male	descriptive_adjective
446	Ο αδελφός είναι ένας [M].	[I] είναι ένα [M]	ο αδερφός	singular	male	descriptive_adjective
447	Ο θείος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	ο θείος	singular	male	descriptive_adjective
448	Ο θείος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο θείος	singular	male	descriptive_adjective
449	Ο θείος είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	ο θείος	singular	male	descriptive_adjective
450	Ο θείος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	ο θείος	singular	male	descriptive_adjective
451	Ο θείος είναι ένας [M].	[I] είναι ένα [M]	ο θείος	singular	male	descriptive_adjective
452	Οι νέοι είναι οι περισσότεροι [M].	[I] είναι το πιο [M]	ο νεαρός	singular	male	descriptive_adjective
453	Οι νέοι είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο νεαρός	singular	male	descriptive_adjective
454	Οι νέοι είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	ο νεαρός	singular	male	descriptive_adjective
455	Οι νέοι είναι γνωστοί ως [M].	[I] είναι γνωστό ως [M]	ο νεαρός	singular	male	descriptive_adjective
456	Οι νέοι είναι ένας [M].	[I] είναι ένα [M]	ο νεαρός	singular	male	descriptive_adjective
457	Ο σύζυγος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	ο σύζυγος	singular	male	descriptive_adjective
458	Ο σύζυγος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο σύζυγος	singular	male	descriptive_adjective
459	Ο σύζυγος είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	ο σύζυγος	singular	male	descriptive_adjective
460	Ο σύζυγος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	ο σύζυγος	singular	male	descriptive_adjective
461	Ο σύζυγος είναι ένας [M].	[I] είναι ένα [M]	ο σύζυγος	singular	male	descriptive_adjective
462	Ο κύριος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	ο κύριος	singular	male	descriptive_adjective
463	Ο κύριος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο κύριος	singular	male	descriptive_adjective
464	Ο κύριος είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	ο κύριος	singular	male	descriptive_adjective
465	Ο κύριος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	ο κύριος	singular	male	descriptive_adjective
466	Ο κύριος είναι ένας [M].	[I] είναι ένα [M]	ο κύριος	singular	male	descriptive_adjective
467	Ο γαμπρός είναι ο περισσότερος [M].	[I] είναι το πιο [M]	ο γαμπρός	singular	male	descriptive_adjective
468	Ο γαμπρός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο γαμπρός	singular	male	descriptive_adjective
469	Ο γαμπρός είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	ο γαμπρός	singular	male	descriptive_adjective
470	Ο γαμπρός είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	ο γαμπρός	singular	male	descriptive_adjective
471	Ο γαμπρός είναι ένας [M].	[I] είναι ένα [M]	ο γαμπρός	singular	male	descriptive_adjective
472	Ο φίλος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	ο φίλος	singular	male	descriptive_adjective
473	Ο φίλος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	ο φίλος	singular	male	descriptive_adjective
474	Ο φίλος είναι ένας υπέροχος [M].	[I] είναι ένα υπέροχο [M]	ο φίλος	singular	male	descriptive_adjective
475	Ο φίλος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	ο φίλος	singular	male	descriptive_adjective
476	Ο φίλος είναι ένα [M].	[I] είναι ένα [M]	ο φίλος	singular	male	descriptive_adjective
477	Οι άνδρες είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι άνδρες	plural	male	descriptive_adjective
478	Οι άνδρες είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι άνδρες	plural	male	descriptive_adjective
479	Οι άνδρες είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	οι άνδρες	plural	male	descriptive_adjective
480	Οι άνδρες είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	οι άνδρες	plural	male	descriptive_adjective
481	Οι άνδρες είναι [M].	[I] είναι [M]	οι άνδρες	plural	male	descriptive_adjective
482	Τα παιδιά είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα παιδιά	plural	male	descriptive_adjective
483	Τα παιδιά είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα παιδιά	plural	male	descriptive_adjective
484	Τα παιδιά είναι υπέροχα [M].	[I] είναι υπέροχα [M]	τα παιδιά	plural	male	descriptive_adjective
485	Τα παιδιά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα παιδιά	plural	male	descriptive_adjective
486	Τα παιδιά είναι [M].	[I] είναι [M]	τα παιδιά	plural	male	descriptive_adjective
487	Οι πατέρες είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι πατέρες	plural	male	descriptive_adjective
488	Οι πατέρες είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι πατέρες	plural	male	descriptive_adjective
489	Οι πατέρες είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	οι πατέρες	plural	male	descriptive_adjective
490	Οι πατέρες είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	οι πατέρες	plural	male	descriptive_adjective
491	Οι πατέρες είναι [M].	[I] είναι [M]	οι πατέρες	plural	male	descriptive_adjective
492	Τα παιδιά είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα παιδιά	plural	male	descriptive_adjective
493	Τα παιδιά είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα παιδιά	plural	male	descriptive_adjective
494	Τα παιδιά είναι υπέροχα [M].	[I] είναι υπέροχα [M]	τα παιδιά	plural	male	descriptive_adjective
495	Τα παιδιά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα παιδιά	plural	male	descriptive_adjective
496	Τα παιδιά είναι [M].	[I] είναι [M]	τα παιδιά	plural	male	descriptive_adjective
497	Τα αγόρια είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα αγόρια	plural	male	descriptive_adjective
498	Τα αγόρια είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα αγόρια	plural	male	descriptive_adjective
499	Τα αγόρια είναι υπέροχα [M].	[I] είναι υπέροχα [M]	τα αγόρια	plural	male	descriptive_adjective
500	Τα αγόρια είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα αγόρια	plural	male	descriptive_adjective
501	Τα αγόρια είναι [M].	[I] είναι [M]	τα αγόρια	plural	male	descriptive_adjective
502	Τα αρσενικά είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα αρσενικά	plural	male	descriptive_adjective
503	Τα αρσενικά είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	τα αρσενικά	plural	male	descriptive_adjective
504	Τα αρσενικά είναι υπέροχα [M].	[I] είναι υπέροχα [M]	τα αρσενικά	plural	male	descriptive_adjective
505	Τα αρσενικά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα αρσενικά	plural	male	descriptive_adjective
506	Τα αρσενικά είναι [M].	[I] είναι [M]	τα αρσενικά	plural	male	descriptive_adjective
507	Οι αδελφοί είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι αδελφοί	plural	male	descriptive_adjective
508	Οι αδελφοί είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι αδελφοί	plural	male	descriptive_adjective
509	Οι αδελφοί είναι υπέροχα [M].	[I] είναι υπέροχα [M]	Οι αδελφοί	plural	male	descriptive_adjective
510	Οι αδελφοί είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	Οι αδελφοί	plural	male	descriptive_adjective
511	Οι αδελφοί είναι [M].	[I] είναι [M]	Οι αδελφοί	plural	male	descriptive_adjective
512	Οι θείοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι θείοι	plural	male	descriptive_adjective
513	Οι θείοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι θείοι	plural	male	descriptive_adjective
514	Οι θείοι είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	οι θείοι	plural	male	descriptive_adjective
515	Οι θείοι είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	οι θείοι	plural	male	descriptive_adjective
516	Οι θείοι είναι [M].	[I] είναι [M]	οι θείοι	plural	male	descriptive_adjective
517	Οι νέοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι νέοι	plural	male	descriptive_adjective
518	Οι νέοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι νέοι	plural	male	descriptive_adjective
519	Οι νέοι είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	Οι νέοι	plural	male	descriptive_adjective
520	Οι νέοι είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	Οι νέοι	plural	male	descriptive_adjective
521	Οι νέοι είναι [M].	[I] είναι [M]	Οι νέοι	plural	male	descriptive_adjective
522	Οι σύζυγοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι σύζυγοι	plural	male	descriptive_adjective
523	Οι σύζυγοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι σύζυγοι	plural	male	descriptive_adjective
524	Οι σύζυγοι είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	οι σύζυγοι	plural	male	descriptive_adjective
525	Οι σύζυγοι είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	οι σύζυγοι	plural	male	descriptive_adjective
526	Οι σύζυγοι είναι [M].	[I] είναι [M]	οι σύζυγοι	plural	male	descriptive_adjective
527	Οι Λόρδοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι Λόρδοι	plural	male	descriptive_adjective
528	Οι Λόρδοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι Λόρδοι	plural	male	descriptive_adjective
529	Οι Λόρδοι είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	Οι Λόρδοι	plural	male	descriptive_adjective
530	Οι Λόρδοι είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	Οι Λόρδοι	plural	male	descriptive_adjective
531	Οι Λόρδοι είναι [M].	[I] είναι [M]	Οι Λόρδοι	plural	male	descriptive_adjective
532	Οι σύζυγοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι σύζυγοι	plural	male	descriptive_adjective
533	Οι σύζυγοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	οι σύζυγοι	plural	male	descriptive_adjective
534	Οι σύζυγοι είναι σπουδαίοι [M].	[I] είναι υπέροχα [M]	οι σύζυγοι	plural	male	descriptive_adjective
535	Οι σύζυγοι είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	οι σύζυγοι	plural	male	descriptive_adjective
536	Οι σύζυγοι είναι [M].	[I] είναι [M]	οι σύζυγοι	plural	male	descriptive_adjective
537	Οι φίλοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι φίλοι	plural	male	descriptive_adjective
538	Οι φίλοι είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	Οι φίλοι	plural	male	descriptive_adjective
539	Οι φίλοι είναι υπέροχοι [M].	[I] είναι υπέροχα [M]	Οι φίλοι	plural	male	descriptive_adjective
540	Οι φίλοι είναι γνωστοί ως [M].	[I] είναι γνωστά ως [M]	Οι φίλοι	plural	male	descriptive_adjective
541	Οι φίλοι είναι [M].	[I] είναι [M]	Οι φίλοι	plural	male	descriptive_adjective
542	Η γυναίκα αρέσει να [M].	[I] αρέσει [M]	η γυναίκα	singular	female	descriptive_verb
543	Η γυναίκα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
544	Η γυναίκα προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η γυναίκα	singular	female	descriptive_verb
545	Η γυναίκα είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η γυναίκα	singular	female	descriptive_verb
546	Η γυναίκα πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η γυναίκα	singular	female	descriptive_verb
547	Το παιδί του αρέσει να [M].	[I] αρέσει [M]	το παιδί	singular	female	descriptive_verb
548	Το παιδί ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το παιδί	singular	female	descriptive_verb
549	Το παιδί προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	το παιδί	singular	female	descriptive_verb
550	Το παιδί είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το παιδί	singular	female	descriptive_verb
551	Το παιδί πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	το παιδί	singular	female	descriptive_verb
552	Της αρέσει να [M].	[I] αρέσει [M]	αυτή	singular	female	descriptive_verb
553	Ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	αυτή	singular	female	descriptive_verb
554	Έχει σκοπό να είναι [M].	[I] πρέπει να είναι [M]	αυτή	singular	female	descriptive_verb
555	Είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	αυτή	singular	female	descriptive_verb
556	Πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	αυτή	singular	female	descriptive_verb
557	Η μητέρα αρέσει να [M].	[I] αρέσει [M]	η μητέρα	singular	female	descriptive_verb
558	Η μητέρα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η μητέρα	singular	female	descriptive_verb
559	Η μητέρα προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η μητέρα	singular	female	descriptive_verb
560	Η μητέρα είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η μητέρα	singular	female	descriptive_verb
561	Η μητέρα πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η μητέρα	singular	female	descriptive_verb
562	Η κόρη του αρέσει [M].	[I] αρέσει [M]	η κόρη	singular	female	descriptive_verb
563	Η κόρη ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η κόρη	singular	female	descriptive_verb
564	Η κόρη προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η κόρη	singular	female	descriptive_verb
565	Η κόρη είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η κόρη	singular	female	descriptive_verb
566	Η κόρη πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η κόρη	singular	female	descriptive_verb
567	Το κορίτσι αρέσει να [M].	[I] αρέσει [M]	το κορίτσι	singular	female	descriptive_verb
568	Το κορίτσι ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	το κορίτσι	singular	female	descriptive_verb
569	Το κορίτσι προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	το κορίτσι	singular	female	descriptive_verb
570	Το κορίτσι είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	το κορίτσι	singular	female	descriptive_verb
571	Το κορίτσι πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	το κορίτσι	singular	female	descriptive_verb
572	Το θηλυκό αρέσει να [M].	[I] αρέσει [M]	η γυναίκα	singular	female	descriptive_verb
573	Το θηλυκό ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
574	Το θηλυκό προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η γυναίκα	singular	female	descriptive_verb
575	Το θηλυκό είναι πολύ καλό στο [M].	[I] είναι πολύ καλό στο [M]	η γυναίκα	singular	female	descriptive_verb
576	Το θηλυκό πρέπει να γνωρίζει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η γυναίκα	singular	female	descriptive_verb
577	Η αδελφή του αρέσει [M].	[I] αρέσει [M]	η αδερφή	singular	female	descriptive_verb
578	Η αδελφή ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η αδερφή	singular	female	descriptive_verb
579	Η αδελφή πρέπει να είναι [M].	[I] πρέπει να είναι [M]	η αδερφή	singular	female	descriptive_verb
580	Η αδελφή είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η αδερφή	singular	female	descriptive_verb
581	Η αδελφή πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η αδερφή	singular	female	descriptive_verb
582	Η θεία θέλει να [M].	[I] αρέσει [M]	η θεία	singular	female	descriptive_verb
583	Η θεία ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η θεία	singular	female	descriptive_verb
584	Η θεία προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η θεία	singular	female	descriptive_verb
585	Η θεία είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η θεία	singular	female	descriptive_verb
586	Η θεία πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η θεία	singular	female	descriptive_verb
587	Οι νέοι του αρέσει [M].	[I] αρέσει [M]	ο νεαρός	singular	female	descriptive_verb
588	Οι νέοι ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	ο νεαρός	singular	female	descriptive_verb
589	Οι νέοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	ο νεαρός	singular	female	descriptive_verb
590	Οι νέοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλό στο [M]	ο νεαρός	singular	female	descriptive_verb
591	Οι νέοι πρέπει να ξέρουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	ο νεαρός	singular	female	descriptive_verb
592	Η γυναίκα του αρέσει [M].	[I] αρέσει [M]	η γυναίκα	singular	female	descriptive_verb
593	Η γυναίκα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η γυναίκα	singular	female	descriptive_verb
594	Η γυναίκα προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η γυναίκα	singular	female	descriptive_verb
595	Η γυναίκα είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η γυναίκα	singular	female	descriptive_verb
596	Η γυναίκα πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η γυναίκα	singular	female	descriptive_verb
597	Η κυρία αρέσει να [M].	[I] αρέσει [M]	η κυρία	singular	female	descriptive_verb
598	Η κυρία ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η κυρία	singular	female	descriptive_verb
599	Η κυρία προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η κυρία	singular	female	descriptive_verb
600	Η κυρία είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η κυρία	singular	female	descriptive_verb
601	Η κυρία πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η κυρία	singular	female	descriptive_verb
602	Η νύφη του αρέσει [M].	[I] αρέσει [M]	η νύφη	singular	female	descriptive_verb
603	Η νύφη ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	η νύφη	singular	female	descriptive_verb
604	Η νύφη προορίζεται να είναι [M].	[I] πρέπει να είναι [M]	η νύφη	singular	female	descriptive_verb
605	Η νύφη είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	η νύφη	singular	female	descriptive_verb
606	Η νύφη πρέπει να γνωρίζει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	η νύφη	singular	female	descriptive_verb
607	Η φίλη του αρέσει [M].	[I] αρέσει [M]	φιλενάδα	singular	female	descriptive_verb
608	Η κοπέλα ξέρει πώς να [M].	[I] Ξέρει πώς να [M]	φιλενάδα	singular	female	descriptive_verb
609	Η φίλη πρέπει να είναι [M].	[I] πρέπει να είναι [M]	φιλενάδα	singular	female	descriptive_verb
610	Η φίλη είναι πολύ καλή στο [M].	[I] είναι πολύ καλό στο [M]	φιλενάδα	singular	female	descriptive_verb
611	Η φίλη πρέπει να ξέρει πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	φιλενάδα	singular	female	descriptive_verb
612	Οι γυναίκες θέλουν να [M].	[I][I] αρέσει [M]	οι γυναίκες	plural	female	descriptive_verb
613	Οι γυναίκες γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	οι γυναίκες	plural	female	descriptive_verb
614	Οι γυναίκες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι γυναίκες	plural	female	descriptive_verb
615	Οι γυναίκες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	οι γυναίκες	plural	female	descriptive_verb
616	Οι γυναίκες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι γυναίκες	plural	female	descriptive_verb
617	Τα κορίτσια θέλουν να [M].	[I][I] αρέσει [M]	τα κορίτσια	plural	female	descriptive_verb
618	Τα κορίτσια ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
619	Τα κορίτσια προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα κορίτσια	plural	female	descriptive_verb
620	Τα κορίτσια είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα κορίτσια	plural	female	descriptive_verb
621	Τα κορίτσια πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
622	Οι μητέρες θέλουν να [M].	[I][I] αρέσει [M]	Οι μητέρες	plural	female	descriptive_verb
623	Οι μητέρες γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	Οι μητέρες	plural	female	descriptive_verb
624	Οι μητέρες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι μητέρες	plural	female	descriptive_verb
625	Οι μητέρες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	Οι μητέρες	plural	female	descriptive_verb
626	Οι μητέρες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι μητέρες	plural	female	descriptive_verb
627	Οι κόρες θέλουν να [M].	[I][I] αρέσει [M]	Οι κόρες	plural	female	descriptive_verb
628	Οι κόρες ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι κόρες	plural	female	descriptive_verb
629	Οι κόρες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι κόρες	plural	female	descriptive_verb
630	Οι κόρες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	Οι κόρες	plural	female	descriptive_verb
631	Οι κόρες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι κόρες	plural	female	descriptive_verb
632	Τα κορίτσια θέλουν να [M].	[I][I] αρέσει [M]	τα κορίτσια	plural	female	descriptive_verb
633	Τα κορίτσια ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
634	Τα κορίτσια προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα κορίτσια	plural	female	descriptive_verb
635	Τα κορίτσια είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα κορίτσια	plural	female	descriptive_verb
636	Τα κορίτσια πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα κορίτσια	plural	female	descriptive_verb
637	Τα θηλυκά θέλουν να [M].	[I][I] αρέσει [M]	τα θηλυκά	plural	female	descriptive_verb
638	Τα θηλυκά ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	τα θηλυκά	plural	female	descriptive_verb
639	Τα θηλυκά προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	τα θηλυκά	plural	female	descriptive_verb
640	Τα θηλυκά είναι πολύ καλά στο [M].	[I] είναι πολύ καλοί στο [M]	τα θηλυκά	plural	female	descriptive_verb
641	Τα θηλυκά πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	τα θηλυκά	plural	female	descriptive_verb
642	Οι αδελφές θέλουν να [M].	[I][I] αρέσει [M]	οι αδελφές	plural	female	descriptive_verb
643	Οι αδελφές ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	οι αδελφές	plural	female	descriptive_verb
644	Οι αδελφές προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	οι αδελφές	plural	female	descriptive_verb
645	Οι αδελφές είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	οι αδελφές	plural	female	descriptive_verb
646	Οι αδελφές πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	οι αδελφές	plural	female	descriptive_verb
647	Οι θείες σαν να [M].	[I][I] αρέσει [M]	Οι θείες	plural	female	descriptive_verb
648	Οι θείες ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι θείες	plural	female	descriptive_verb
649	Οι θείες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι θείες	plural	female	descriptive_verb
650	Οι θείες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	Οι θείες	plural	female	descriptive_verb
651	Οι θείες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι θείες	plural	female	descriptive_verb
652	Οι νέοι θέλουν να [M].	[I][I] αρέσει [M]	Οι νέοι	plural	female	descriptive_verb
653	Οι νέοι ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι νέοι	plural	female	descriptive_verb
654	Οι νέοι προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι νέοι	plural	female	descriptive_verb
655	Οι νέοι είναι πολύ καλοί στο [M].	[I] είναι πολύ καλοί στο [M]	Οι νέοι	plural	female	descriptive_verb
656	Οι νέοι πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι νέοι	plural	female	descriptive_verb
657	Οι συζύγους θέλουν να [M].	[I][I] αρέσει [M]	Οι σύζυγοι	plural	female	descriptive_verb
658	Οι συζύγους γνωρίζουν πώς να [M].	[I] ξέρω πώς να [M]	Οι σύζυγοι	plural	female	descriptive_verb
659	Οι συζύγους προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι σύζυγοι	plural	female	descriptive_verb
660	Οι συζύγους είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	Οι σύζυγοι	plural	female	descriptive_verb
661	Οι συζύγους πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι σύζυγοι	plural	female	descriptive_verb
662	Οι κυρίες θέλουν να [M].	[I][I] αρέσει [M]	Οι κυρίες	plural	female	descriptive_verb
663	Οι κυρίες ξέρουν πώς να [M].	[I] ξέρω πώς να [M]	Οι κυρίες	plural	female	descriptive_verb
664	Οι κυρίες προορίζονται να είναι [M].	[I] πρέπει να είναι [M]	Οι κυρίες	plural	female	descriptive_verb
665	Οι κυρίες είναι πολύ καλές στο [M].	[I] είναι πολύ καλοί στο [M]	Οι κυρίες	plural	female	descriptive_verb
666	Οι κυρίες πρέπει να γνωρίζουν πώς να [M].	[I] πρέπει να ξέρω πώς να [M]	Οι κυρίες	plural	female	descriptive_verb
667	Οι νύφες θέλουν να [M].	[I][I] αρέσει [M]	οι νύφες	plural	female	descriptive_verb
