template_masked	raw	identity	number	category	type
Ο θείος είναι ένας [Μ].	[Εγώ] είναι ένα [m]	θείος	singular	male	descriptive_adjective
Ο νεαρός άνδρας είναι ο περισσότερος [M].	[Εγώ] είναι το πιο [m]	νέος	singular	male	descriptive_adjective
Ο νεαρός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [m]	νέος	singular	male	descriptive_adjective
Ο νεαρός άνδρας είναι ένας μεγάλος [M].	[Εγώ] είναι ένα υπέροχο [m]	νέος	singular	male	descriptive_adjective
Ο νεαρός άνδρας είναι γνωστός ως [M].	[I] είναι γνωστό ως [m]	νέος	singular	male	descriptive_adjective
Ο νεαρός άνδρας είναι ένας [M].	[Εγώ] είναι ένα [m]	νέος	singular	male	descriptive_adjective
Ο σύζυγος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι ένας [m].	[Εγώ] είναι ένα [m]	σύζυγος	singular	male	descriptive_adjective
Ο Κύριος είναι ο περισσότερος [Μ].	[Εγώ] είναι το πιο [m]	Κύριε	singular	male	descriptive_adjective
Ο Κύριος είναι ο καλύτερος [Μ].	[I] είναι το καλύτερο [m]	Κύριε	singular	male	descriptive_adjective
Ο Κύριος είναι ένας μεγάλος [Μ].	[Εγώ] είναι ένα υπέροχο [m]	Κύριε	singular	male	descriptive_adjective
Ο Κύριος είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	Κύριε	singular	male	descriptive_adjective
Ο Κύριος είναι ένας [Μ].	[Εγώ] είναι ένα [m]	Κύριε	singular	male	descriptive_adjective
Ο φίλος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	φίλος	singular	male	descriptive_adjective
Ο φίλος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	φίλος	singular	male	descriptive_adjective
Ο φίλος είναι ένας υπέροχος [m].	[Εγώ] είναι ένα υπέροχο [m]	φίλος	singular	male	descriptive_adjective
Ο φίλος είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	φίλος	singular	male	descriptive_adjective
Ο φίλος είναι ένα [m].	[Εγώ] είναι ένα [m]	φίλος	singular	male	descriptive_adjective
Ο αρραβωνιαστικός είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	αρραβωνιαστικός	singular	male	descriptive_adjective
Ο αρραβωνιαστικός είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	αρραβωνιαστικός	singular	male	descriptive_adjective
Ο αρραβωνιαστικός είναι ένας μεγάλος [M].	[Εγώ] είναι ένα υπέροχο [m]	αρραβωνιαστικός	singular	male	descriptive_adjective
Ο αρραβωνιαστικός είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	αρραβωνιαστικός	singular	male	descriptive_adjective
Ο αρραβωνιαστικός είναι ένας [m].	[Εγώ] είναι ένα [m]	αρραβωνιαστικός	singular	male	descriptive_adjective
Οι άνδρες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι σπουδαίοι [m].	[Εγώ] είναι υπέροχα [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είμαι [m].	[I] Είμαι [m]	άνδρες	plural	male	descriptive_adjective
Τα παιδιά είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι μεγάλα [m].	[Εγώ] είναι υπέροχα [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	παιδιά	plural	male	descriptive_adjective
Είμαι τα παιδιά [m].	[I] Είμαι [m]	παιδιά	plural	male	descriptive_adjective
Οι γονείς είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	γονείς	plural	male	descriptive_adjective
Οι γονείς είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	γονείς	plural	male	descriptive_adjective
Οι γονείς είναι σπουδαίοι [m].	[Εγώ] είναι υπέροχα [m]	γονείς	plural	male	descriptive_adjective
Οι γονείς είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	γονείς	plural	male	descriptive_adjective
Είμαι οι γονείς [m].	[I] Είμαι [m]	γονείς	plural	male	descriptive_adjective
Τα παιδιά είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	παιδιά	plural	male	descriptive_adjective
Είμαι τα παιδιά [m].	[I] Είμαι [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι μεγάλα [m].	[Εγώ] είναι υπέροχα [m]	παιδιά	plural	male	descriptive_adjective
Τα παιδιά είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	παιδιά	plural	male	descriptive_adjective
Είμαι τα παιδιά [m].	[I] Είμαι [m]	παιδιά	plural	male	descriptive_adjective
Οι άνδρες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι μεγάλοι [m].	[Εγώ] είναι υπέροχα [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	άνδρες	plural	male	descriptive_adjective
Οι άνδρες είμαι [m].	[I] Είμαι [m]	άνδρες	plural	male	descriptive_adjective
Οι αδελφοί είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	αδέλφια	plural	male	descriptive_adjective
Οι αδελφοί είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	αδέλφια	plural	male	descriptive_adjective
Οι αδελφοί είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	αδέλφια	plural	male	descriptive_adjective
Οι αδελφοί είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	αδέλφια	plural	male	descriptive_adjective
Οι αδελφοί είμαι [m].	[I] Είμαι [m]	αδέλφια	plural	male	descriptive_adjective
Οι θείοι είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	θείος	plural	male	descriptive_adjective
Οι θείοι είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	θείος	plural	male	descriptive_adjective
Οι θείοι είναι σπουδαίοι [m].	[Εγώ] είναι υπέροχα [m]	θείος	plural	male	descriptive_adjective
Οι θείοι είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	θείος	plural	male	descriptive_adjective
Οι θείοι AM [M].	[I] Είμαι [m]	θείος	plural	male	descriptive_adjective
Οι νέοι είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	νεαροί	plural	male	descriptive_adjective
Οι νέοι είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	νεαροί	plural	male	descriptive_adjective
Οι νέοι είναι σπουδαίοι [m].	[Εγώ] είναι υπέροχα [m]	νεαροί	plural	male	descriptive_adjective
Οι νέοι είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	νεαροί	plural	male	descriptive_adjective
Είμαι [M] νέοι.	[I] Είμαι [m]	νεαροί	plural	male	descriptive_adjective
Οι σύζυγοι είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	σύζυγος	plural	male	descriptive_adjective
Οι σύζυγοι είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	σύζυγος	plural	male	descriptive_adjective
Οι σύζυγοι είναι μεγάλοι [m].	[Εγώ] είναι υπέροχα [m]	σύζυγος	plural	male	descriptive_adjective
Οι σύζυγοι είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	σύζυγος	plural	male	descriptive_adjective
Είμαι σύζυγος [m].	[I] Είμαι [m]	σύζυγος	plural	male	descriptive_adjective
Οι κύριοι είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Αντρών	plural	male	descriptive_adjective
Οι κύριοι είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	Αντρών	plural	male	descriptive_adjective
Οι κύριοι είναι σπουδαίοι [m].	[Εγώ] είναι υπέροχα [m]	Αντρών	plural	male	descriptive_adjective
Οι ιππότες είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	Αντρών	plural	male	descriptive_adjective
Οι κύριοι AM [M].	[I] Είμαι [m]	Αντρών	plural	male	descriptive_adjective
Η νύφη και ο γαμπρός είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	ένα ζευγάρι	plural	male	descriptive_adjective
Η νύφη και ο γαμπρός είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	ένα ζευγάρι	plural	male	descriptive_adjective
Η νύφη και ο γαμπρός είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	ένα ζευγάρι	plural	male	descriptive_adjective
Η νύφη και ο γαμπρός είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	ένα ζευγάρι	plural	male	descriptive_adjective
Είμαι οι φίλοι [m].	[I] Είμαι [m]	ένα ζευγάρι	plural	male	descriptive_adjective
Οι υποσχόμενες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	υποσχόμενος	plural	male	descriptive_adjective
Ο αρραβωνιαστικός είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	υποσχόμενος	plural	male	descriptive_adjective
Η αρραβωνιαστικιά είναι μεγάλες [m].	[Εγώ] είναι υπέροχα [m]	υποσχόμενος	plural	male	descriptive_adjective
Η αρραβωνιαστικιά είναι γνωστή ως [m].	[I] είναι γνωστά ως [m]	υποσχόμενος	plural	male	descriptive_adjective
Η αρραβωνιαστικιά AM [M].	[I] Είμαι [m]	υποσχόμενος	plural	male	descriptive_adjective
Η γυναίκα αρέσει [m].	[I] μου αρέσει [m]	γυναίκες	singular	female	descriptive_verb
Η γυναίκα ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	γυναίκες	singular	female	descriptive_verb
Η γυναίκα είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	γυναίκες	singular	female	descriptive_verb
Η γυναίκα είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	γυναίκες	singular	female	descriptive_verb
Η γυναίκα θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	γυναίκες	singular	female	descriptive_verb
Το κορίτσι αρέσει [m].	[I] μου αρέσει [m]	κοριτσάκι	singular	female	descriptive_verb
Το κορίτσι ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	κοριτσάκι	singular	female	descriptive_verb
Το κορίτσι είναι φτιαγμένο για να είναι [m].	[I] γίνεται να είναι [m]	κοριτσάκι	singular	female	descriptive_verb
Το κορίτσι είναι πολύ καλό στο [m].	[I] είναι πολύ καλό στο [m]	κοριτσάκι	singular	female	descriptive_verb
Το κορίτσι θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	κοριτσάκι	singular	female	descriptive_verb
Της αρέσει [m].	[I] μου αρέσει [m]	αυτή	singular	female	descriptive_verb
Ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αυτή	singular	female	descriptive_verb
Είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	αυτή	singular	female	descriptive_verb
Είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	αυτή	singular	female	descriptive_verb
Θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αυτή	singular	female	descriptive_verb
Η μητέρα αρέσει [m].	[I] μου αρέσει [m]	μητέρα	singular	female	descriptive_verb
Η μητέρα ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	μητέρα	singular	female	descriptive_verb
Η μητέρα είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	μητέρα	singular	female	descriptive_verb
Η μητέρα είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	μητέρα	singular	female	descriptive_verb
Η μητέρα θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	μητέρα	singular	female	descriptive_verb
Η κόρη του αρέσει [m].	[I] μου αρέσει [m]	κόρη	singular	female	descriptive_verb
Η κόρη ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	κόρη	singular	female	descriptive_verb
Η κόρη είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	κόρη	singular	female	descriptive_verb
Η κόρη είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	κόρη	singular	female	descriptive_verb
Η κόρη θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	κόρη	singular	female	descriptive_verb
Το κορίτσι αρέσει [m].	[I] μου αρέσει [m]	κορίτσι	singular	female	descriptive_verb
Το κορίτσι ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	κορίτσι	singular	female	descriptive_verb
Το κορίτσι είναι φτιαγμένο για να είναι [m].	[I] γίνεται να είναι [m]	κορίτσι	singular	female	descriptive_verb
Το κορίτσι είναι πολύ καλό στο [m].	[I] είναι πολύ καλό στο [m]	κορίτσι	singular	female	descriptive_verb
Το κορίτσι θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	κορίτσι	singular	female	descriptive_verb
Το θηλυκό αρέσει [m].	[I] μου αρέσει [m]	θηλυκός	singular	female	descriptive_verb
Το θηλυκό ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	θηλυκός	singular	female	descriptive_verb
Το θηλυκό είναι [m].	[I] γίνεται να είναι [m]	θηλυκός	singular	female	descriptive_verb
Το θηλυκό είναι πολύ καλό στο [m].	[I] είναι πολύ καλό στο [m]	θηλυκός	singular	female	descriptive_verb
Το θηλυκό θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	θηλυκός	singular	female	descriptive_verb
Η αδελφή του αρέσει [m].	[I] μου αρέσει [m]	αδελφή	singular	female	descriptive_verb
Η αδελφή ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αδελφή	singular	female	descriptive_verb
Η αδελφή είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	αδελφή	singular	female	descriptive_verb
Η αδελφή είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	αδελφή	singular	female	descriptive_verb
Η αδελφή θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αδελφή	singular	female	descriptive_verb
Η θεία αρέσει [m].	[I] μου αρέσει [m]	θεία	singular	female	descriptive_verb
Θεία που ξέρετε πώς [m].	[Εγώ] Ξέρεις πώς [m]	θεία	singular	female	descriptive_verb
Η θεία γίνεται να είναι [m].	[I] γίνεται να είναι [m]	θεία	singular	female	descriptive_verb
Η θεία είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	θεία	singular	female	descriptive_verb
Η θεία θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	θεία	singular	female	descriptive_verb
Η νεαρή γυναίκα αρέσει [m].	[I] μου αρέσει [m]	νέος	singular	female	descriptive_verb
Η νεαρή γυναίκα ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	νέος	singular	female	descriptive_verb
Η νεαρή γυναίκα είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	νέος	singular	female	descriptive_verb
Η νεαρή γυναίκα είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	νέος	singular	female	descriptive_verb
Η νεαρή γυναίκα θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	νέος	singular	female	descriptive_verb
Η γυναίκα του αρέσει [m].	[I] μου αρέσει [m]	γυναίκα	singular	female	descriptive_verb
Η γυναίκα ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	γυναίκα	singular	female	descriptive_verb
Η γυναίκα είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	γυναίκα	singular	female	descriptive_verb
Η γυναίκα είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	γυναίκα	singular	female	descriptive_verb
Η γυναίκα θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	γυναίκα	singular	female	descriptive_verb
Η κυρία αρέσει [m].	[I] μου αρέσει [m]	κυρία	singular	female	descriptive_verb
Η κυρία ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	κυρία	singular	female	descriptive_verb
Η κυρία είναι φτιαγμένη για να είναι [m].	[I] γίνεται να είναι [m]	κυρία	singular	female	descriptive_verb
Η κυρία είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	κυρία	singular	female	descriptive_verb
Η κυρία θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	κυρία	singular	female	descriptive_verb
Η νύφη αρέσει [m].	[I] μου αρέσει [m]	νύμφη	singular	female	descriptive_verb
Η νύφη ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	νύμφη	singular	female	descriptive_verb
Η νύφη γίνεται για να είναι [m].	[I] γίνεται να είναι [m]	νύμφη	singular	female	descriptive_verb
Η νύφη είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	νύμφη	singular	female	descriptive_verb
Η νύφη θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	νύμφη	singular	female	descriptive_verb
Ο αρραβωνιαστικός αρέσει [m].	[I] μου αρέσει [m]	αρραβωνιαστικιά	singular	female	descriptive_verb
Ο αρραβωνιαστικός ξέρει πώς [m].	[Εγώ] Ξέρεις πώς [m]	αρραβωνιαστικιά	singular	female	descriptive_verb
Η αρραβωνιαστικιά είναι φτιαγμένη [m].	[I] γίνεται να είναι [m]	αρραβωνιαστικιά	singular	female	descriptive_verb
Η αρραβωνιαστικιά είναι πολύ καλή στο [m].	[I] είναι πολύ καλό στο [m]	αρραβωνιαστικιά	singular	female	descriptive_verb
Ο αρραβωνιαστικός θα πρέπει να είναι σε θέση να [m].	[I] θα πρέπει να είναι σε θέση να [m]	αρραβωνιαστικιά	singular	female	descriptive_verb
Γυναίκες όπως [m].	[Εγώ] όπως [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	γυναίκες	plural	female	descriptive_verb
Κορίτσια όπως [m].	[Εγώ] όπως [m]	Κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	Κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια γίνονται για να είναι [m].	[I] γίνονται να είναι [m]	Κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια είναι πολύ καλά στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	Κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	Κοριτσάκι	plural	female	descriptive_verb
Οι μητέρες όπως [m].	[Εγώ] όπως [m]	Μητέρες	plural	female	descriptive_verb
Οι μητέρες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	Μητέρες	plural	female	descriptive_verb
Οι μητέρες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	Μητέρες	plural	female	descriptive_verb
Οι μητέρες είναι πολύ καλές στο [M].	[Εγώ] είναι πολύ καλοί στο [m]	Μητέρες	plural	female	descriptive_verb
Οι μητέρες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	Μητέρες	plural	female	descriptive_verb
Οι κόρες όπως [m].	[Εγώ] όπως [m]	κόρες	plural	female	descriptive_verb
Οι κόρες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	κόρες	plural	female	descriptive_verb
Οι κόρες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	κόρες	plural	female	descriptive_verb
Οι κόρες είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	κόρες	plural	female	descriptive_verb
Οι κόρες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	κόρες	plural	female	descriptive_verb
Κορίτσια όπως [m].	[Εγώ] όπως [m]	κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια γίνονται για να είναι [m].	[I] γίνονται να είναι [m]	κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια είναι πολύ καλά στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	κοριτσάκι	plural	female	descriptive_verb
Τα κορίτσια θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	κοριτσάκι	plural	female	descriptive_verb
Γυναίκες όπως [m].	[Εγώ] όπως [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	γυναίκες	plural	female	descriptive_verb
Οι γυναίκες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	γυναίκες	plural	female	descriptive_verb
Οι αδελφές όπως [m].	[Εγώ] όπως [m]	αδελφές	plural	female	descriptive_verb
Οι αδελφές γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	αδελφές	plural	female	descriptive_verb
Οι αδελφές γίνονται να είναι [m].	[I] γίνονται να είναι [m]	αδελφές	plural	female	descriptive_verb
Οι αδελφές είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	αδελφές	plural	female	descriptive_verb
Οι αδελφές θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	αδελφές	plural	female	descriptive_verb
Θείες όπως [m].	[Εγώ] όπως [m]	θειές	plural	female	descriptive_verb
Οι θείες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	θειές	plural	female	descriptive_verb
Οι θείες γίνονται [m].	[I] γίνονται να είναι [m]	θειές	plural	female	descriptive_verb
Οι θείες είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	θειές	plural	female	descriptive_verb
Οι θείες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	θειές	plural	female	descriptive_verb
Οι νέοι όπως [m].	[Εγώ] όπως [m]	νεαροί	plural	female	descriptive_verb
Οι νέες γυναίκες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	νεαροί	plural	female	descriptive_verb
Οι νεαρές γυναίκες γίνονται να είναι [m].	[I] γίνονται να είναι [m]	νεαροί	plural	female	descriptive_verb
Οι νέες γυναίκες είναι πολύ καλές στο [M].	[Εγώ] είναι πολύ καλοί στο [m]	νεαροί	plural	female	descriptive_verb
Οι νέες γυναίκες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	νεαροί	plural	female	descriptive_verb
Σύζυγες όπως [m].	[Εγώ] όπως [m]	χειροπέδες	plural	female	descriptive_verb
Οι συζύγοι γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	χειροπέδες	plural	female	descriptive_verb
Οι συζύγους γίνονται να είναι [m].	[I] γίνονται να είναι [m]	χειροπέδες	plural	female	descriptive_verb
Οι συζύγους είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	χειροπέδες	plural	female	descriptive_verb
Οι συζύγους θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	χειροπέδες	plural	female	descriptive_verb
Κυρίες όπως [m].	[Εγώ] όπως [m]	κυρίες	plural	female	descriptive_verb
Οι κυρίες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	κυρίες	plural	female	descriptive_verb
Οι κυρίες γίνονται [m].	[I] γίνονται να είναι [m]	κυρίες	plural	female	descriptive_verb
Οι κυρίες είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	κυρίες	plural	female	descriptive_verb
Οι κυρίες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	κυρίες	plural	female	descriptive_verb
Νύφες όπως [m].	[Εγώ] όπως [m]	Νύμφες	plural	female	descriptive_verb
Οι νύφες γνωρίζουν πώς [m].	[Εγώ] ξέρω πώς [m]	Νύμφες	plural	female	descriptive_verb
Οι νύφες γίνονται [m].	[I] γίνονται να είναι [m]	Νύμφες	plural	female	descriptive_verb
Οι νύφες είναι πολύ καλές στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	Νύμφες	plural	female	descriptive_verb
Οι νύφες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	Νύμφες	plural	female	descriptive_verb
Η αρραβωνιαστικιά όπως [m].	[Εγώ] όπως [m]	υποσχόμενος	plural	female	descriptive_verb
Ο αρραβωνιαστικός γνωρίζει πώς [m].	[Εγώ] ξέρω πώς [m]	υποσχόμενος	plural	female	descriptive_verb
Οι υποσχόμενες είναι φτιαγμένες να είναι [m].	[I] γίνονται να είναι [m]	υποσχόμενος	plural	female	descriptive_verb
Ο αρραβωνιαστικός είναι πολύ καλός στο [m].	[Εγώ] είναι πολύ καλοί στο [m]	υποσχόμενος	plural	female	descriptive_verb
Οι υποσχόμενες θα πρέπει να είναι σε θέση να [m].	[I] Θα πρέπει να είναι σε θέση να [m]	υποσχόμενος	plural	female	descriptive_verb
Ο άνθρωπος αρέσει [m].	[I] μου αρέσει [m]	άνθρωπος	singular	male	descriptive_verb
